Date0,All_Deposits,Savings_Deposit,DJI_YOYGr,DJI4qtrLVLGRO,DJI_YOYGr_4qtrMA,UR,UR_MA4,Treas_3M,Treas_3M_lag1,Treas_5Y,Treas_10Y,Level,slope,mkt_time,Tbill_90,Treasury_1Y,Treasury_2_Year,Treasury_5Y,Treasury_10Y,Level_full,Slope_full,RGDP_growth,UR_lag2,CRE_YOYGr_lag4,Treas_3M_lag1,DJIA_YOYGr_lag2,risk_prem,risk_prem_4qtrMA,VIX
4/1/1990,3.8,0.58248,8.765934468,5.651099777,17.82839654,5.3,5.275,7.7,7.8,8.7,8.8,8.4,1.1,9.24,7.73,8.1,8.24,8.43,8.674126984,8.234825397,0.434126984,1.6,5.4,2.356267672,7.8,24.88679521,1.461619382,11.7507776,27.3
7/1/1990,4.6,0.71023,-17.40504899,-1.184083812,16.54299975,5.7,5.3,7.5,7.7,8.5,8.8,8.266666667,1.3,10.74666667,7.36,7.76,8.02,8.51,8.701269841,8.070253968,0.681269841,0.1,5.3,2.443609023,7.7,12.29460396,-23.47455278,10.48591904,24.2
10/1/1990,0.7,0.28209,-9.775768843,-4.98918097,6.295049545,6.1,5.425,7,7.5,8.1,8.5,7.866666667,1.5,11.8,6.74,7.05,7.15,7.73,8.405967742,7.415193548,1.255967742,-3.4,5.3,2.626641651,7.5,9.161619382,-16.31313781,-0.082883557,36.5
1/1/1991,6.6,2.65065,9.053603735,-3.172445395,-1.704830232,6.6,5.6,6,7,7.7,8.2,7.3,2.2,16.06,5.91,6.4,7.02,7.77,8.023166667,7.024633333,1.003166667,-1.9,5.7,0.743494424,7,-15.97455278,3.476095922,-8.457866812,34
4/1/1991,6.6,3.79427,3.475291988,-5.174629132,-2.340319907,6.8,5.925,5.6,6,7.8,8.3,7.233333333,2.7,19.53,5.57,6.36,6.9,7.94,8.12546875,6.97909375,1.22546875,3.1,6.1,-1.012891344,6,-9.313137811,-2.063614064,-8.712493821,36.2
7/1/1991,4,2.60967,26.26073496,13.82888202,-3.662980527,6.9,6.3,5.4,5.6,7.5,8.1,7,2.7,18.9,5.22,5.57,5.99,7.14,7.95,6.374,1.96,1.9,6.6,-1.834862385,5.6,9.476095922,24.6316049,-9.593802182,20.1
10/1/1991,2,3.77041,26.46633097,12.64751403,7.253465459,7.1,6.6,4.5,5.4,6.7,7.5,6.233333333,3,18.7,4.07,4.38,4.77,6.19,7.345,5.351,2.575,1.8,6.8,-2.559414991,5.4,3.536385936,25.79921971,2.432737238,21.2
1/1/1992,4,5.55979,10.02521978,4.042609593,16.31399041,7.4,6.85,3.9,4.5,6.7,7.5,6.033333333,3.6,21.72,4.04,4.63,5.6,6.95,7.306935484,5.705387097,1.706935484,4.8,6.9,-2.58302583,4.5,30.0316049,6.644967492,12.96082662,21.9
4/1/1992,-1,2.43021,10.30365651,7.828232971,16.55689442,7.6,7.05,3.7,3.9,6.7,7.5,5.966666667,3.8,22.67333333,3.66,4.17,4.83,6.48,7.376031746,5.303206349,2.546031746,4.5,7.1,-2.697674419,3.9,30.29921971,7.15319419,13.75304451,19.8
7/1/1992,-0.2,3.17516,7.222127282,4.68082265,18.26398555,7.6,7.25,3.1,3.7,5.7,6.9,5.233333333,3.8,19.88666667,2.91,3.18,3.8,5.38,6.61875,4.37775,2.81875,3.9,7.4,-5.607476636,3.7,10.54496749,4.389316239,16.05724657,20.2
10/1/1992,2.2,1.46179,5.969986828,-1.280591918,13.50433364,7.4,7.425,3.1,3.1,6,7,5.366666667,3.9,20.93,3.22,3.71,4.56,6.08,6.740322581,4.862064516,2.180322581,4.1,7.6,-8.442776735,3.1,10.85319419,3.051790354,10.99667441,15.9
1/1/1993,-0.8,0.11795,11.49743922,2.269285137,8.3802476,7.1,7.5,3,3.1,5.5,6.5,5,3.5,17.5,2.95,3.33,3.96,5.19,6.258196721,4.337639344,2.298196721,0.7,7.6,-9.659090909,3.1,7.489316239,9.184470921,5.309817069,20.5
4/1/1993,3.6,1.35488,12.40984457,6.154110373,8.748302459,7.1,7.425,3,3,5.2,6.2,4.8,3.2,15.36,3.07,3.54,4.03,5.22,5.988095238,4.369619048,1.958095238,2.4,7.4,-10.89866157,3,6.151790354,10.21273185,5.944692926,16.2
7/1/1993,1.3,0.68914,13.40716999,6.897922672,9.274849473,6.8,7.3,3,3,5,5.8,4.6,2.8,12.88,2.95,3.36,3.89,4.73,5.6153125,4.1090625,1.7253125,2,7.1,-10.1980198,3,12.18447092,11.34748037,6.709577342,15.3
10/1/1993,0.5,0.53599,8.232643323,3.65177052,10.82111015,6.6,7.1,3.1,3,5,5.8,4.633333333,2.7,12.51,3.06,3.61,4.25,5.15,5.615967742,4.337193548,1.365967742,5.4,7.1,-9.528688525,3,13.21273185,5.481019652,8.449118374,17.3
1/1/1994,-0.3,0.59055,0.30105617,2.116756295,11.38677427,6.6,6.9,3.3,3.1,5.5,6.2,5,2.9,14.5,3.5,4.32,5.21,5.94,6.090322581,5.012064516,0.880322581,4,6.8,-8.385744235,3.1,14.34748037,-2.998490201,9.056425699,15.9
4/1/1994,-1.9,-1.10894,-1.230116814,2.070410823,8.587678511,6.2,6.775,4,3.3,6.7,7.2,5.966666667,3.2,19.09333333,4.14,5.27,6.19,6.7,7.089516129,5.877903226,0.899516129,5.6,6.6,-7.188841202,3.3,8.581019652,-5.222581805,6.010685418,20.5
7/1/1994,1.2,-1.69855,0.086884753,-1.601003955,5.177688167,6,6.55,4.5,4,6.9,7.4,6.266666667,2.9,18.17333333,4.62,5.76,6.62,7.08,7.32796875,6.28159375,0.70796875,2.4,6.6,-4.740904079,4,0.301509799,-4.413077491,2.151857004,23.9
10/1/1994,0.6,-3.59,-2.548407175,-2.762570312,1.847616858,5.6,6.35,5.3,4.5,7.6,7.9,6.933333333,2.6,18.02666667,5.6,7.14,7.69,7.78,7.837213115,7.209442623,0.147213115,4.6,6.2,-2.151755379,4.5,-1.222581805,-7.816209369,-1.788282461,14.9
1/1/1995,2,-4.4371,9.875689006,0.944994055,-0.847645766,5.5,6.1,5.7,5.3,7.4,7.6,6.9,1.9,13.11,5.73,6.43,6.8,7.05,7.471290323,6.696258065,0.671290323,1.4,6,0,5.3,0.086922509,4.67979227,-5.112589717,18.4
4/1/1995,3.7,0.17298,19.63592003,5.01228613,1.546012443,5.7,5.825,5.6,5.7,6.4,6.7,6.233333333,1.1,6.856666667,5.47,5.64,5.79,5.93,6.60015873,5.886031746,0.81015873,1.4,5.6,2.196531792,5.7,-2.516209369,16.09639607,-3.193019099,14.3
7/1/1995,7.9,1.62683,23.16788228,5.386686352,6.762521654,5.7,5.7,5.4,5.6,6.1,6.5,6,1.1,6.6,5.28,5.62,5.83,6,6.329206349,5.81184127,0.499206349,3.5,5.5,3.356481481,5.6,10.37979227,20.6714751,2.136725369,14.1
10/1/1995,3.2,1.74387,28.81884852,13.51143021,12.53277104,5.6,5.625,5.3,5.4,5.7,6,5.666666667,0.7,3.966666667,5.14,5.31,5.18,5.51,5.898548387,5.407709677,0.718548387,2.9,5.7,4.62962963,5.4,21.69639607,28.10087213,8.407863516,13.9
1/1/1996,5.4,3.43676,25.75657923,12.45528819,20.37458496,5.5,5.625,4.9,5.3,5.6,6,5.5,1.1,6.05,4.96,5.34,5.79,5.97,5.910483871,5.594096774,0.120483871,2.6,5.7,3.661327231,5.3,26.0714751,24.47769287,17.38713389,15.7
4/1/1996,4.8,2.41332,21.21349281,10.20462534,24.34480751,5.5,5.625,5,4.9,6.5,6.8,6.1,1.8,10.98,5.09,5.81,6.11,6.69,6.7140625,6.0828125,0.6040625,7.2,5.6,2.375565611,4.9,33.40087213,18.63146874,22.33660904,20.7
7/1/1996,4.7,2.93727,15.28705284,6.958030517,24.73920071,5.3,5.575,5.1,5,6.5,6.8,6.133333333,1.7,10.42666667,5.09,5.83,6.1,6.6,6.7759375,6.0791875,0.6759375,3.8,5.5,2.127659574,5,29.37769287,11.41741122,22.97037721,20.2
10/1/1996,9,3.53861,17.25972399,6.491448194,22.76899335,5.3,5.475,5,5.1,6.1,6.4,5.833333333,1.4,8.166666667,4.91,5.47,5.88,6.07,6.354193548,5.73683871,0.474193548,4.3,5.5,1.880530973,5.1,23.63146874,13.83873737,20.65686124,21.6
1/1/1997,7.4,2.28104,12.49986501,5.808683768,19.87921222,5.2,5.4,5.1,5,6.4,6.6,6.033333333,1.5,9.05,5.14,5.8,6.45,6.54,6.567,6.0994,0.117,3.1,5.3,2.097130243,5,16.51741122,8.214692345,17.09132755,22
