observation_date,TOTCI_growth,ACILOB_growth,Nominal GDP growth,YieldSpread,CREPriceMomentum
1/1/1976,-0.031276782,0,0.14,2.7,0
4/1/1976,0.009036011,0,0.073,2.4,0
7/1/1976,0.010084841,0,0.074,2.4,0
10/1/1976,0.020501996,0,0.105,2.4,0
1/1/1977,0.022570244,0,0.116,2.6,0.077470262
4/1/1977,0.025034841,0,0.143,2.5,0.077961541
7/1/1977,0.025628799,0,0.126,1.8,0.085584504
10/1/1977,0.028432923,0,0.09,1.5,0.089505144
1/1/1978,0.045641468,0,0.076,1.6,0.081998835
4/1/1978,0.044376584,0,0.252,1.7,0.092058144
7/1/1978,0.029081512,0,0.111,1.1,0.09324554
10/1/1978,0.02526618,0,0.146,0.1,0.100898521
1/1/1979,0.051548858,0,0.082,-0.4,0.107869927
4/1/1979,0.060787569,0,0.106,-0.4,0.10942391
7/1/1979,0.039289055,0,0.12,-0.7,0.115483981
10/1/1979,0.018726089,0,0.093,-1.4,0.109839634
1/1/1980,0.030953799,0,0.1,-1.5,0.097358661
4/1/1980,-0.010032744,0,0.005,0.8,0.089320145
7/1/1980,0.027092731,0,0.089,1.7,0.078952552
10/1/1980,0.056077331,0,0.2,-1.3,0.088858953
1/1/1981,0.009596154,0,0.198,-1.6,0.115810499
4/1/1981,0.044206817,0,0.046,-1.3,0.127673145
7/1/1981,0.036038056,0,0.124,-0.5,0.136798302
10/1/1981,0.03041946,0,0.028,2.1,0.139541216
1/1/1982,0.041792401,0,-0.012,1.3,0.117918034
4/1/1982,0.043421154,0,0.072,1.3,0.094134401
7/1/1982,0.023978301,0,0.044,3.6,0.068383858
10/1/1982,-0.00415474,0,0.049,3,0.029365895
1/1/1983,0.009688222,0,0.088,2.6,-0.009766762
4/1/1983,-0.001985346,0,0.124,2.3,-0.030404079
7/1/1983,0.022610829,0,0.127,2.6,-0.035815005
10/1/1983,0.03045762,0,0.117,2.9,-0.03157584
1/1/1984,0.039540559,0,0.129,2.7,-0.013172529
